Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary
H.R. 7327,https://www.congress.gov/bill/115th-congress/house-bill/7327,115th Congress (2017-2018),Strengthening and Enhancing Cyber-capabilities by Utilizing Risk Exposure Technology Act,"Hurd, Will [Rep.-R-TX-23]",Republican,12/19/2018,Became Public Law No: 115-390.,12/21/2018,"<p><b>Strengthening and Enhancing Cyber-capabilities by Utilizing Risk Exposure Technology Act or the SECURE Technology Act</b></p> <p>TITLE I--DEPARTMENT OF HOMELAND SECURITY INFORMATION SECURITY AND OTHER MATTERS</p> <p>(Sec. 101) This bill directs the Department of Homeland Security (DHS) to: (1) establish a policy applicable to individuals, organizations, and companies to report security vulnerabilities on DHS information systems; and (2) develop a process to address the mitigation or remediation of the vulnerabilities reported. DHS shall make such policy publicly available and submit a copy to Congress with the required remediation process.</p> <p>(Sec. 102) DHS shall establish, within the Office of the Chief Information Officer, a bug bounty pilot program to minimize security vulnerabilities.</p> <p> &quot;Bug bounty program&quot; means a program under which: (1) individuals, organizations, and companies are temporarily authorized to identify and report vulnerabilities of DHS information systems; and (2) eligible individuals, organizations, and companies receive compensation in exchange for such reports. </p> <p>TITLE II--FEDERAL ACQUISITION SUPPLY CHAIN SECURITY</p> <p><i>Federal Acquisition Supply Chain Security Act of 2018</i></p> <p>(Sec. 202) This bill establishes a Federal Acquisition Security Council. The council shall: (1) identify and recommend development of supply chain risk management standards, guidelines, and practices for assessing and developing mitigation strategies to address supply chain risks; and (2) develop a strategic plan for addressing supply chain risks posed by the acquisition of certain technology and equipment (covered articles). </p> <p>(Sec. 203) The bill sets forth standards for executive agencies in assessing supply chain risks and extends to such agencies authorities for mitigating supply chain risks in the procurement of covered articles. </p> <p>(Sec. 204) The bill adds agency responsibilities relating to assessing and avoiding, mitigating, transferring, or accepting supply chain risks and complying with exclusion and removal orders.</p>"
H.R. 7319,https://www.congress.gov/bill/115th-congress/house-bill/7319,115th Congress (2017-2018),"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes.","Barletta, Lou [Rep.-R-PA-11]",Republican,12/17/2018,Became Public Law No: 115-438.,01/14/2019,<p>(Sec. 1) This bill allows existing improvements on&nbsp;a property&nbsp;sold under&nbsp;the Federal Assets Sale and Transfer Act of 2016 to be leased back to the federal government for up to three years for the purpose of facilitating the sale of the property.</p>
H.R. 7318,https://www.congress.gov/bill/115th-congress/house-bill/7318,115th Congress (2017-2018),"To amend the Federal Assets Sale and Transfer Act of 2016 to ensure that the Public Buildings Reform Board has adequate time to carry out the responsibilities of the Board, and for other purposes.","Barletta, Lou [Rep.-R-PA-11]",Republican,12/17/2018,Became Public Law No: 115-437.,01/14/2019,<p>(Sec. 1) This bill amends the Federal Assets Sale and Transfer Act of 2016 to remove the deadline for appointment of members to the Public Buildings Reform Board and revise the board's termination date to six years after its members have been selected for appointment pursuant to the Act. </p>
H.R. 7279,https://www.congress.gov/bill/115th-congress/house-bill/7279,115th Congress (2017-2018),Water Infrastructure Improvement Act,"Gibbs, Bob [Rep.-R-OH-7]",Republican,12/12/2018,Became Public Law No: 115-436.,01/14/2019,"<p><b>Water Infrastructure Improvement Act</b></p> <p>(Sec. 3) This bill amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to allow municipalities to develop a plan that integrates wastewater and stormwater management.</p> <p>A permit for a municipal discharge under the national pollutant discharge elimination system that incorporates an integrated plan may integrate all requirements under the Act addressed in the plan, such as requirements relating to combined sewer overflows, sanitary sewer collection systems, and total maximum daily loads. A plan that is incorporated into a permit may include the implementation of green infrastructure and projects to reclaim, recycle, or reuse water. Green infrastructure includes measures that mimic natural processes to store, reuse, or reduce stormwater.</p> <p>Those permits may include a schedule of compliance that allows actions for meeting water quality-based effluent limitations to be implemented over more than one permit term if the compliance schedules are authorized by state water quality standards. </p> <p>A municipality under an administrative order or settlement agreement may request a modification of the order or settlement based on the municipality's integrated plan.</p> <p>The EPA must report on each integrated plan developed and implemented through a permit, order, or judicial consent decree since June 5, 2012, including a description of the control measures, levels of control, estimated costs, and compliance schedules for the requirements implemented through such a plan.</p> <p>(Sec. 4) The bill establishes an Office of the Municipal Ombudsman in the Environmental Protection Agency (EPA) to provide: (1) technical assistance to municipalities seeking to comply with the Clean Water Act, and (2) information to the EPA to ensure that agency policies are implemented by all EPA offices.</p> <p>(Sec. 5) The EPA must promote the use of green infrastructure.</p> <ul><ul><ul> <ul> </ul> </ul> <ul> <ul> <ul> </ul> </ul> </ul> <ul> <ul> <ul> </ul> </ul> </ul> <ul> </ul> </ul> </ul> <ul> <ul> </ul> </ul>"
H.R. 7243,https://www.congress.gov/bill/115th-congress/house-bill/7243,115th Congress (2017-2018),"To amend Public Law 115-217 to change the address of the postal facility designated by such Public Law in honor of Sergeant First Class Alwyn Crendall Cashe, and for other purposes.","Murphy, Stephanie N. [Rep.-D-FL-7]",Democratic,12/10/2018,Became Public Law No: 115-389.,12/21/2018,"<p>This bill changes the U.S. Postal Service facility designated in Oviedo, Florida, in honor of Sergeant First Class Alwyn Crendall Cashe (from the facility at 567 East Franklin Street to the facility at 83 Geneva Drive).</p>"
H.R. 7230,https://www.congress.gov/bill/115th-congress/house-bill/7230,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 226 West Main Street in Lake City, South Carolina, as the ""Postmaster Frazier B. Baker Post Office"".","Clyburn, James E. [Rep.-D-SC-6]",Democratic,12/10/2018,Became Public Law No: 115-388.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 226 West Main Street in Lake City, South Carolina, as the ""Postmaster Frazier B. Baker Post Office.""</p>"
H.R. 7213,https://www.congress.gov/bill/115th-congress/house-bill/7213,115th Congress (2017-2018),Countering Weapons of Mass Destruction Act of 2018,"Donovan, Daniel M., Jr. [Rep.-R-NY-11]",Republican,12/03/2018,Became Public Law No: 115-387.,12/21/2018,"<p><b>Countering Weapons of Mass Destruction Act of 2018</b></p> <p>(Sec. 2) This bill amends the Homeland Security Act of 2002 to establish in the Department of Homeland Security (DHS) a Countering Weapons of Mass Destruction Office, headed by an Assistant Secretary. The Assistant Secretary shall serve as the principal advisor to DHS on weapons of mass destruction matters and strategies, and on coordinating efforts to counter weapons of mass destruction.</p> <p>The office shall coordinate DHS strategy and policy to plan, detect, and protect against the importation, possession, storage, transportation, development, or use of unauthorized chemical, biological, radiological, or nuclear materials, devices, or agents. </p> <p>The Assistant Secretary shall establish the Securing the Cities program to detect and prevent terrorist attacks and other high consequence events utilizing nuclear or other radiological materials that pose a high risk to homeland security in high-risk urban areas. </p> <p> The bill establishes in the office a Chief Medical Officer who shall serve as the principal advisor to DHS on medical and public health issues.</p> <p>DHS shall transfer to the office all personnel, budget authority, and assets of the Domestic Nuclear Detection Office and the Office of Health Affairs.</p> <ul> <ul> </ul> </ul>"
H.R. 7187,https://www.congress.gov/bill/115th-congress/house-bill/7187,115th Congress (2017-2018),National Flood Insurance Program Further Extension Act of 2018,"MacArthur, Thomas [Rep.-R-NJ-3]",Republican,11/29/2018,Became Public Law No: 115-281.,12/01/2018,"<p><b>National Flood Insurance Program Further Extension Act of 2018</b></p> <p>(Sec. 2) This bill amends the National Flood Insurance Act of 1968 to reauthorize the National Flood Insurance Program through December 7, 2018. </p>"
H.R. 7120,https://www.congress.gov/bill/115th-congress/house-bill/7120,115th Congress (2017-2018),To amend the Federal Election Campaign Act of 1971 to extend through 2023 the authority of the Federal Election Commission to impose civil money penalties on the basis of a schedule of penalties established and published by the Commission.,"Harper, Gregg [Rep.-R-MS-3]",Republican,11/13/2018,Became Public Law No: 115-386.,12/21/2018,<b> <p /></b> <p>This bill amends the Federal Election Campaign Act of 1971 to extend through 2023 the administrative penalty authority of the Federal Election Commission.</p>
H.R. 6964,https://www.congress.gov/bill/115th-congress/house-bill/6964,115th Congress (2017-2018),Juvenile Justice Reform Act of 2018,"Lewis, Jason [Rep.-R-MN-2]",Republican,09/28/2018,Became Public Law No: 115-385.,12/21/2018,"<p><b>Juvenile Justice Reform Act of 2017</b></p> <p>TITLE I--DECLARATION OF FINDINGS, PURPOSE, AND DEFINITIONS</p> <p>(Sec. 101) The bill amends the Juvenile Justice and Delinquency Prevention Act of 1974 (JJDPA) to revise an existing purpose area. Specifically, it requires the Department of Justice (DOJ) Office of Juvenile Justice and Delinquency Prevention (OJJDP), in disseminating information on juvenile delinquency prevention programs, to promote evidence-based programs and practices.</p> <p>It also adds, as a new purpose area, support for a continuum of evidence-based or promising programs that are trauma-informed, reflect the science of adolescent development, and are designed to meet the needs of at-risk youth who come into contact with the juvenile justice system.</p> <p>TITLE II--CHARLES GRASSLEY JUVENILE JUSTICE AND DELINQUENCY PREVENTION PROGRAM</p> <p>(Sec. 201) The bill requires the OJJDP, in developing objectives, priorities, strategies, and long-term plans, to take into account scientific knowledge regarding: (1) adolescent development and behavior, and (2) the effects of delinquency prevention programs and juvenile justice interventions on adolescents.</p> <p>The OJJDP, in consultation with Indian tribes with a criminal justice function, must develop a policy to implement the provisions of this bill relating to Indian tribes.</p> <p>(Sec. 202) It expands membership on the Coordinating Council on Juvenile Justice and Delinquency Prevention (Coordinating Council) to include the Assistant Secretary for Mental Health and Substance Use and the Secretary of the Interior.</p> <p>(Sec. 203) This section modifies requirements for the OJJDP annual report on juveniles in custody. Specifically, it adds ethnicity to the list of offender characteristics and expands the categories of information that must be summarized and analyzed. It adds requirements for the annual report to describe criteria used to determine what programs qualify as evidence-based and promising programs and funding provided to Indian tribes; and to analyze and evaluate the OJJDP internal controls and the total amount of payments recouped from grantees that violate the OJJDP policies and procedures.</p> <p>(Sec. 204) It increases from 2% to 5% the maximum amount of Formula Grant funds that may be used to provide technical assistance to states in complying with the core requirements and implementing a juvenile justice and delinquency plan.</p> <p>It increases each state's minimum allocation under the population-based Formula Grant program from $325,000 to $400,000 if the title II appropriation is less than $75 million in a fiscal year. A state's relative population of individuals under 18 years of age must be based on the most recent Census Bureau data.</p> <p>The 10% maximum amount of a state's Formula Grant allocation that can be used for planning and administration includes designation of at least one individual to coordinate and certify compliance with the core requirements. </p> <p>(Sec. 205) This section modifies the required components of a state's juvenile justice and delinquency plan.</p> <p>A state's annual update to the three-year plan must describe how the plan is supported by or takes account of scientific knowledge regarding adolescent development and behavior and regarding the effects of prevention programs and juvenile justice interventions. A state must post its plan or amended plan on a publicly accessible website.</p> <p>The bill modifies State Advisory Group membership qualifications to include representatives of public agencies that prevent or treat mental health, substance abuse, or disabilities in adolescents; and individuals who represent victim or witness advocacy groups. It also increases from 24 years to 28 years the maximum age of youth members at the time of appointment.</p> <p>It eliminates the requirement for an eligible Indian tribe to perform law enforcement functions.</p> <p>A state's juvenile justice and delinquency plan must contain additional components, including plans to: provide alternatives to detention, reduce children in secure detention and corrections facilities, engage family members, use community-based services, promote evidence-based and trauma-informed programs and practices, and limit the use of restraints on pregnant juvenile offenders.</p> <p>The bill modifies program areas under the Formula Grant program. It revises existing program areas to specify that: (1) alternatives to detention programs include programs for active or former gang members; (2) educational programs and support services include projects to prevent and reduce truancy; and (3) the scope of juveniles served by mentoring, counseling, and training programs includes juveniles whose parent or guardian is incarcerated in a tribal facility.</p> <p>It adds new program areas to expand access to legal counsel, to inform juveniles of the opportunity and process for expunging juvenile records, to address the needs of at-risk girls, and to monitor compliance and provide technical assistance with the core requirements. The bill prioritizes funding for entities that meet the criteria for evidence-based or promising programs.</p> <p>The bill modifies the core requirements with which a state must comply to receive a full allocation of funds under the Formula Grant program.</p> <p>First, it revises the deinstitutionalization of status offenders core requirement, which prohibits the secure detention or confinement of a juvenile who commits a status offense (i.e., an offense that would not be a crime if committed by an adult). Specifically, use of the valid court order exception to securely detain or confine a juvenile status offender must comply with additional requirements, such as issuance of a court order and a seven-day maximum length of detention. </p> <p>Second, it modifies the separation and jail removal core requirements to specify that sight or sound contact is the level of contact prohibited between juveniles and adults. Sight or sound contact means any physical, clear visual, or verbal contact that is not brief or inadvertent.</p> <p>Third, it revises the disproportionate minority contact requirement to require a state to implement policy, practice, and system improvement strategies to identify and reduce racial and ethnic disparities among youth who come into contact with the juvenile justice system. It retains the prohibition against using numerical standards or quotas.</p> <p>A state must provide for an effective (previously, adequate) system of monitoring compliance with the core requirements.</p> <p>The OJJDP must annually conduct, and publish the results of, a compliance determination for each state that participates in the Formula Grant program.</p> <p>(Sec. 206) The bill repeals the Juvenile Delinquency Prevention Block Grant program.</p> <p>(Sec. 207) This section requires (currently, authorizes) the OJJDP to annually publish a plan to identify (currently, plan and identify) the purposes and goals of funded initiatives to research and evaluate juvenile justice matters. It revises and expands the list of juvenile justice matters initiatives.</p> <p>The OJJDP must study the coordination of services and treatment between the juvenile justice and child welfare systems. It must describe best practices in discharge planning and assess post-confinement living arrangements of juveniles who cannot return home.</p> <p>This bill directs (currently, authorizes) the OJJDP to analyze juvenile justice statistics.</p> <p>The OJJDP must, with respect to juvenile recidivism data, establish a uniform collection method, establish a common measurement system, and publish cumulative data collected by states. </p> <p>(Sec. 208) It requires (currently, permits) the OJJDP to provide training, technical assistance, and information dissemination. </p> <p>It adds requirements for the OJJDP to provide: training to states to implement the JJDPA core requirements, current protocols and best practices for achieving monitoring compliance, and information sharing regarding evidence-based and promising programs or practices. </p> <p>It adds requirements for the OJJDP to provide technical assistance to state and local governments to comply with amendments to the core requirements and state plans; and to improve recruitment, selection, training, and retention of juvenile justice professionals. </p> <p>The OJJDP must disseminate best practices for the treatment of status offenders.</p> <p>Finally, the OJJDP must disseminate best practices regarding legal representation of children; coordinate training and technical assistance programs for local and state juvenile detention and corrections personnel; provide training and technical assistance to relevant decision makers with respect to appropriate services and placement for youth with mental health or substance abuse needs; and provide training and technical assistance to enhance the capacity of courts, judges, and judicial personnel. </p> <p>(Sec. 209) The OJJDP must, in developing guidance and procedures, consult state and local governments. It must ensure that requests for reports, compliance reports, state plan requirements, and other documentation respect confidentiality, encourage efficiency, and reduce duplication of reporting efforts.</p> <p>TITLE III--INCENTIVE GRANTS FOR LOCAL DELINQUENCY PREVENTION PROGRAMS </p> <p>(Sec. 301) The bill revises the short title of title V of the JJDPA. </p> <p>(Sec. 302) It adds definitions for the following terms: at-risk, eligible entity, delinquency prevention program, local policy board, mentoring, and state entity. </p> <p>(Sec. 303) It eliminates the explicit requirement for the OJJDP to issue rules to carry out title V of the JJDPA.</p> <p>(Sec. 304) This section revises the Incentive Grants for Local Delinquency Prevention Programs:</p> <ul> <li>to state that the purpose is to enable local communities to address unmet needs of at-risk or delinquent youth, including through a continuum of delinquency prevention programs;</li> <li>to direct the OJJDP to award grants to state entities for subgrants to eligible entities; and</li> <li>to limit the maximum set-aside for training and technical assistance.</li> </ul> <p>(Sec. 305) The bill creates a new section and moves, to that section, the statutory authority for grants for tribal delinquency prevention and response programs. Of the amount available for programs under title V of the JJDPA, 11% is reserved for tribal delinquency prevention and response program grants. </p> <p>(Sec. 306) The Government Accountability Office must evaluate the outcomes and results of delinquency prevention programs implemented by subgrantees.</p> <p>TITLE IV--MISCELLANEOUS PROVISIONS </p> <p>(Sec. 401) The Government Accountability Office must evaluate OJJDP performance and audit selected grant recipients. </p> <p>(Sec. 402) This section amends the JJDPA to add a new title:</p> <ul> <li>that expresses the sense of Congress that the OJJDP must restore meaningful enforcement of, and states must ensure full compliance with, the core requirements;</li> <li>that subjects juvenile justice grants to accountability provisions; and</li> <li>that requires DOJ to identify and report on duplicative grant awards.</li> </ul> <p>The bill reauthorizes through FY2023 programs and activities: (1) under title II of the JJDPA, including the State Formula Grants program and the Challenge Grants program; and (2) under title V of the JJDPA, including the Incentive Grants for Local Delinquency Prevention Program. </p> <p>Additionally, it reauthorizes through FY2020 programs and activities: (1) for missing and exploited children, under title IV of the JJDPA; and (2) for runaway and homeless youth, under title III of the JJDPA.</p>"
