Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary,Amendment Text (Latest)
H.R. 9308,https://www.congress.gov/bill/117th-congress/house-bill/9308,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 6401 El Cajon Boulevard in San Diego, California, as the ""Susan A. Davis Post Office"".","Jacobs, Sara [Rep.-D-CA-53]",Democratic,11/16/2022,Became Public Law No: 117-314.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 6401 El Cajon Boulevard in San Diego, California, as the Susan A. Davis Post Office.</p>",
H.R. 8982,https://www.congress.gov/bill/117th-congress/house-bill/8982,117th Congress (2021-2022),Bulk Infant Formula to Retail Shelves Act,"DelBene, Suzan K. [Rep.-D-WA-1]",Democratic,09/26/2022,Became Public Law No: 117-192.,10/10/2022,"<p><strong>Bulk Infant Formula to Retail Shelves Act</strong></p> <p>This act provides through December 31, 2022, duty-free treatment to certain infant formula base powder used in the manufacturing of infant formula in the United States, subject to quantity limitations. <em>Infant formula base powder</em> means a dry mixture of protein, fat, and carbohydrates that requires only the addition of vitamins and minerals in order to meet the definition of the term <em>infant formula</em> in the Federal Food, Drug, and Cosmetic Act.</p> <p>During this time period, articles of infant formula base powder shall not be subject to any additional safeguard duties that may be imposed under subchapter IV of chapter 99 of the Harmonized Tariff Schedule.</p>",
H.R. 8656,https://www.congress.gov/bill/117th-congress/house-bill/8656,117th Congress (2021-2022),"To designate the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the ""Jackie Walorski VA Clinic"".","Banks, Jim [Rep.-R-IN-3]",Republican,08/05/2022,Became Public Law No: 117-179.,09/30/2022," <p>This act designates the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the Jackie Walorski VA Clinic.</p>",
H.R. 8454,https://www.congress.gov/bill/117th-congress/house-bill/8454,117th Congress (2021-2022),Medical Marijuana and Cannabidiol Research Expansion Act,"Blumenauer, Earl [Rep.-D-OR-3]",Democratic,07/21/2022,Became Public Law No: 117-215.,12/02/2022,"<p><strong>Medical Marijuana and Cannabidiol Research Expansion Act</strong></p> <p>This act establishes a new, separate registration process to facilitate research on marijuana.</p> <p>Specifically, the act directs the Drug Enforcement Administration (DEA) to follow procedures specified in the act to register (1) practitioners to conduct marijuana research, and (2) manufacturers to supply marijuana for the research.</p> <p>The act allows certain registered entities (including institutions of higher education, practitioners, and manufacturers) to manufacture, distribute, dispense, or possess marijuana or cannabidiol (CBD) for the purposes of medical research. Additionally, the act directs the DEA to register manufacturers and distributors of CBD or marijuana for the purpose of commercial production of an approved drug that contains marijuana or its derivative.</p> <p>Finally, the act includes various other provisions, including provisions that</p> <ul> <li>require the DEA to assess whether there is an adequate and uninterrupted supply of marijuana for research purposes; </li> <li>prohibit the Department of Health and Human Services (HHS) from reinstating the interdisciplinary review process for marijuana research; </li> <li> allow physicians to discuss the potential harms and benefits of marijuana and its derivatives (including CBD) with patients; and </li> <li> require HHS, in coordination with the National Institutes of Health and relevant federal agencies, to report on the therapeutic potential of marijuana for various conditions such as epilepsy, as well as the impact on adolescent brains and on the ability to operate a motor vehicle. </li></ul>",
H.R. 8404,https://www.congress.gov/bill/117th-congress/house-bill/8404,117th Congress (2021-2022),Respect for Marriage Act,"Nadler, Jerrold [Rep.-D-NY-10]",Democratic,07/18/2022,Became Public Law No: 117-228.,12/13/2022,"<p><b>Respect for Marriage Act</b></p> <p>This act provides statutory authority for same-sex and interracial marriages. </p> <p>Specifically, the act replaces provisions that define, for purposes of federal law, <i>marriage</i> as between a man and a woman and <i>spouse</i> as a person of the opposite sex with provisions that recognize any marriage between two individuals that is valid under state law. (The Supreme Court held that the current provisions were unconstitutional in <em>United States v. Windsor </em>in 2013.)</p> <p>The act also replaces provisions that do not require states to recognize same-sex marriages from other states with provisions that prohibit the denial of full faith and credit or any right or claim relating to out-of-state marriages on the basis of sex, race, ethnicity, or national origin. (The Supreme Court held that state laws barring same-sex marriages were unconstitutional in <em>Obergefell v. Hodges</em> in 2015; the Court held that state laws barring interracial marriages were unconstitutional in <i>Loving v. Virginia</i> in 1967.) The act allows the Department of Justice to bring a civil action and establishes a private right of action for violations. </p> <p>The act does not (1) affect religious liberties or conscience protections that are available under the Constitution or federal law, (2) require religious organizations to provide goods or services to formally recognize or celebrate a marriage, (3) affect any benefits or rights that do not arise from a marriage, or (4) recognize under federal law any marriage between more than two individuals.</p>",
H.R. 8351,https://www.congress.gov/bill/117th-congress/house-bill/8351,117th Congress (2021-2022),Formula Act,"Blumenauer, Earl [Rep.-D-OR-3]",Democratic,07/13/2022,Became Public Law No: 117-160.,07/21/2022,"<p><strong>Formula Act</strong></p> <p>This bill provides through December 31, 2022, duty-free treatment to infant formula.</p> <p>During this time period, articles of infant formula shall not be subject to (1) any additional safeguard duties that may be imposed under subchapter IV of chapter 99 of the Harmonized Tariff Schedule; or (2) any other import quotas, tariff-rate quotas, additional duties, or any other duties, fees, exactions, or charges that otherwise would apply to such articles.</p> <p>Importers shall provide the applicable and anticipated tariff classifications for articles of infant formula on applicable customs entry documents.</p>",
H.R. 8260,https://www.congress.gov/bill/117th-congress/house-bill/8260,117th Congress (2021-2022),Faster Payments to Veterans' Survivors Act of 2022,"Pappas, Chris [Rep.-D-NH-1]",Democratic,07/01/2022,Became Public Law No: 117-313.,12/27/2022,"<p><strong>Faster Payments to Veterans' Survivors Act of 2022</strong></p> <p>This act modifies policies and procedures related to the payment of benefits under certain life insurance programs administered by the Department of Veterans Affairs (VA).</p> <p>If a primary beneficiary has not made a claim for payment within one year (currently two years) after the death of the insured under the National Service Life Insurance (NSLI) program or the United States Government Life Insurance (USGLI) program, the VA is authorized to make payment to another designated beneficiary as if the primary beneficiary had predeceased the insured. If no designated beneficiary makes a claim within two years (currently four years) after the death of the insured, the VA is authorized to make a payment to a person the VA deems to be equitably entitled to such benefit.</p> <p>The act also modifies the beneficiary designation process under NSLI and USGLI. Specifically, if a person does not designate a beneficiary for insurance, or if the designated beneficiary predeceases the insured person, the VA must determine the beneficiary in a specified order of succession.</p> <p>Additionally, the act requires the VA to improve its processes and procedures with respect to identifying, locating, and paying hard-to-find beneficiaries of life insurance policies, including by improving its website search tools.</p>",
H.R. 8226,https://www.congress.gov/bill/117th-congress/house-bill/8226,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building"".","Craig, Angie [Rep.-D-MN-2]",Democratic,06/24/2022,Became Public Law No: 117-312.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the Officer Leo Pavlak Post Office Building.</p>",
H.R. 8203,https://www.congress.gov/bill/117th-congress/house-bill/8203,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 651 Business Interstate Highway 35 North Suite 420 in New Braunfels, Texas, as the ""Bob Krueger Post Office"".","Doggett, Lloyd [Rep.-D-TX-35]",Democratic,06/23/2022,Became Public Law No: 117-311.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 651 Business Interstate Highway 35 North Suite 420 in New Braunfels, Texas, as the Bob Krueger Post Office.</p>",
H.R. 8026,https://www.congress.gov/bill/117th-congress/house-bill/8026,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the ""Charles W. Lindberg Post Office"".","Omar, Ilhan [Rep.-D-MN-5]",Democratic,06/13/2022,Became Public Law No: 117-310.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the Charles W. Lindberg Post Office.</p>",
