Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 2-additional,Week 3-additional,Week 6-additional,Week 10-additional,Week 12-additional,Week 13-additional,Week 14-additional,Week 17-additional
Arizona Cardinals,39894,9600,30294,,,,5120,,25174,1200,Bye,4200,4200,,,,,,,,*,*,*,*,*,*,*,*
Atlanta Falcons,113084,50657,62427,,21708,,,6656,,7796,5240,7665,Bye,6000,9124,8713,,10703,13470,16009,*,*,*,*,*,*,*,*
Baltimore Ravens,39018,4345,34673,,,,,,,Bye,4345,12200,,,,,11974,,,10499,*,*,*,*,*,*,*,*
Buffalo Bills,23678,,23678,,11075,,,8403,,,,,4200,Bye,,,,,,,*,*,*,*,*,*,*,*
Carolina Panthers,55958,34229,21729,,,,5120,6656,5240,3000,5240,12073,5815,5546,,Bye,5768,,,1500,*,*,*,*,*,*,*,*
Chicago Bears,36556,,36556,,,,,,5240,,,13871,,Bye,,,,,17445,,*,*,*,*,*,*,*,*
Cincinnati Bengals,116248,66965,49283,,6000,,6243,,12453,9732,9712,Bye,5909,,10208,12577,10322,10249,12344,10499,*,*,*,*,*,*,*,*
Cleveland Browns,150365,80440,69925,,6000,6000,25021,11759,5260,9732,10972,Bye,10613,11133,15926,13986,11974,,,11989,*,*,*,*,*,*,*,*
Dallas Cowboys,229343,219021,10322,,21708,,25021,25147,25174,,,31700,Bye,,30048,,10322,30092,30131,,*,*,*,*,*,*,*,*
Denver Broncos,47133,21122,26011,,,5226,,Bye,,5314,5231,7665,,5351,,12578,5768,,,,*,*,*,*,*,*,*,*
Detroit Lions,41652,,41652,,,,,Bye,14513,7796,,,,5546,,,,13797,,,*,*,*,*,*,*,*,*
Green Bay Packers,41401,,41401,,,748,,Bye,15540,12618,,,,12495,,,,,,,*,*,*,*,*,*,*,*
Houston Texans,149134,86800,62334,15895,,,12102,12413,10166,12618,Bye,15668,10613,12503,,12316,,9992,12344,12504,*,*,*,*,*,*,*,*
Indianapolis Colts,131684,79560,52124,14100,2500,7480,,11759,12453,Bye,,12200,13949,12495,12464,12316,,9992,,9976,*,*,*,*,*,*,*,*
Jacksonville Jaguars,155987,127355,28632,14100,,16563,6243,12413,14513,,Bye,15668,,17244,15926,,15896,,17445,9976,*,*,*,*,*,*,*,*
Kansas City Chiefs,142549,105228,37321,15895,,,12729,13311,,5314,11932,12073,Bye,,15950,12578,13057,3000,13470,13240,*,*,*,*,*,*,*,*
Las Vegas Raiders,33407,,33407,,,,,13311,Bye,,10972,,,,9124,,,,,,*,*,*,*,*,*,*,*
Los Angeles Chargers,38354,,38354,,,,6383,749,Bye,,5231,,12751,,,,,,,13240,*,*,*,*,*,*,*,*
Los Angeles Rams,28127,,28127,,,,,,,,12397,Bye,,15730,,,,,,,*,*,*,*,*,*,*,*
Miami Dolphins,124466,98352,26114,,11075,16563,12369,,10772,Bye,12397,4200,12751,5351,,12577,13057,13354,,,*,*,*,*,*,*,*,*
Minnesota Vikings,33633,,33633,,2500,,12102,,,Bye,,,,,,,16031,,3000,,*,*,*,*,*,*,*,*
New England Patriots,38586,,38586,,,,12729,Bye,,,,,,12503,,,,13354,,,*,*,*,*,*,*,*,*
New Orleans Saints,48429,22476,25953,,,748,,749,Bye,3000,,15740,5979,6000,,8713,,3000,3000,1500,*,*,*,*,*,*,*,*
New York Giants,38355,,38355,,,,,25147,,,,3000,,Bye,10208,,,,,,*,*,*,*,*,*,*,*
New York Jets,30184,,30184,,,7480,,,10772,,11932,,Bye,,,,,,,,*,*,*,*,*,*,*,*
Philadelphia Eagles,45972,,45972,,,,,4708,,,,Bye,,11133,,,,,30131,,*,*,*,*,*,*,*,*
Pittsburgh Steelers,101759,15877,85882,,,,Bye,4708,5260,10355,4345,31700,5909,17244,,,,10249,,11989,*,*,*,*,*,*,*,*
San Francisco 49ers,36071,,36071,,,,,,,,,,5979,Bye,,,,30092,,,*,*,*,*,*,*,*,*
Seattle Seahawks,13569,,13569,,,,12369,,Bye,1200,,,,,,,,,,,*,*,*,*,*,*,*,*
Tampa Bay Buccaneers,123127,101383,21744,,,5226,6383,,15540,,,15740,5815,15730,15950,Bye,16031,10703,,16009,*,*,*,*,*,*,*,*
Tennessee Titans,135103,84527,50576,,,,Bye,8403,10166,10355,9712,13871,13949,,12464,13986,15896,13797,,12504,*,*,*,*,*,*,*,*
Washington Football Team,39048,3000,36048,,,6000,,,,,Bye,3000,,,30048,,,,,,*,*,*,*,*,*,*,*
,1210937,,,29995,41283,36017,79967,83146,99118,50015,59829,116117,59216,86002,93720,60170,73048,91187,76390,75717,-9999,,,,,,,
